iter	RMSE
213	0.4815822634
214	0.4814571022
215	0.4813348636
216	0.4811414615
217	0.4810097999
218	0.4808110286
219	0.4806821327
220	0.4805010355
221	0.4803344141
222	0.4800970122
223	0.479947571
224	0.4797506235
225	0.4795660571
226	0.4793041471
227	0.47920573
228	0.4790679637
229	0.4788900024
230	0.4787303475
231	0.4785683004
232	0.4783695631
233	0.4781745836
234	0.4780457938
235	0.4779190114
236	0.4777600273
237	0.4776155602
238	0.4774515952
239	0.4773377704
240	0.4771543197
241	0.4770004542
242	0.4768624357
243	0.4767080765
244	0.4765540441
245	0.476323065
246	0.4762154213
247	0.4760542845
248	0.4758938683
249	0.4757936152
250	0.4756167801
251	0.4754575073
252	0.4753334429
253	0.4751587439
254	0.4749651789
255	0.4747687713
256	0.4746622487
257	0.4745376655
258	0.4744393765
259	0.4742834921
260	0.4740683269
261	0.4739373404
262	0.4737636386
263	0.4736556816
264	0.4734595582
265	0.4733340924
266	0.4731264429
267	0.472984145
268	0.4728426659
269	0.47273471
270	0.4725587276
271	0.4723985771
272	0.4721953206
273	0.4720553818
274	0.4719134689
275	0.4718379597
276	0.4716923994
277	0.4715404114
278	0.471381211
279	0.4712779094
280	0.4711658012
281	0.4710353945
282	0.4708656423
283	0.4706947794
284	0.4705992159
285	0.4705026347
286	0.4703611861
287	0.470210279
288	0.4700778608
289	0.4698894205
290	0.4697511247
291	0.4696194317
292	0.4695107171
293	0.4694319237
294	0.4692478254
295	0.4690804986
296	0.4689846117
297	0.4688441443
298	0.4686643622
299	0.4685480645
300	0.4684536905
301	0.4683667604
302	0.4681907849
303	0.4680474362
304	0.4679170828
305	0.4677744997
306	0.4676298733
307	0.4674997485
308	0.4673541899
309	0.4672619092
310	0.4671554524
311	0.4670371182
312	0.4669303536
313	0.4668403927
314	0.46669532
315	0.4665597574
316	0.4664537204
317	0.4663294603
318	0.4662392029
319	0.4661326517
320	0.4660418045
321	0.4658793918
322	0.4657508861
323	0.4655772252
324	0.4654709847
325	0.4653852445
326	0.4652948562
327	0.4651871857
328	0.4650737254
329	0.4650035813
